delivery_id,notification_id,rule_id,channel,recipient_user_id,recipient_role,recipient_email,delivery_status,delivered_at
ND0001,N0001,NR0001,in_system,U0015,Stevedore,user15@portauthority.com,Delivered,2026-04-05T13:10:00+00:00
ND0002,N0001,NR0001,email,U0015,Stevedore,user15@portauthority.com,Sent,2026-04-05T13:10:02+00:00
ND0003,N0002,NR0002,in_system,U0019,Harbourmaster,user19@portauthority.com,Delivered,2026-04-05T13:12:00+00:00
ND0004,N0002,NR0002,email,U0019,Harbourmaster,user19@portauthority.com,Sent,2026-04-05T13:12:03+00:00
ND0005,N0502,NR0001,in_system,U0015,Stevedore,user15@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0006,N0502,NR0001,email,U0015,Stevedore,user15@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0007,N0502,NR0001,in_system,U0024,Stevedore,user24@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0008,N0502,NR0001,email,U0024,Stevedore,user24@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0009,N0502,NR0001,in_system,U0028,Stevedore,user28@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0010,N0502,NR0001,email,U0028,Stevedore,user28@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0011,N0502,NR0001,in_system,U0035,Stevedore,user35@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0012,N0502,NR0001,email,U0035,Stevedore,user35@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0013,N0502,NR0001,in_system,U0041,Stevedore,user41@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0014,N0502,NR0001,email,U0041,Stevedore,user41@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0015,N0502,NR0001,in_system,U0045,Stevedore,user45@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0016,N0502,NR0001,email,U0045,Stevedore,user45@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0017,N0502,NR0001,in_system,U0053,Stevedore,user53@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0018,N0502,NR0001,email,U0053,Stevedore,user53@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0019,N0502,NR0001,in_system,U0060,Stevedore,user60@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0020,N0502,NR0001,email,U0060,Stevedore,user60@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0021,N0502,NR0001,in_system,U0069,Stevedore,user69@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0022,N0502,NR0001,email,U0069,Stevedore,user69@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0023,N0502,NR0001,in_system,U0104,Stevedore,user104@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0024,N0502,NR0001,email,U0104,Stevedore,user104@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0025,N0502,NR0001,in_system,U0107,Stevedore,user107@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0026,N0502,NR0001,email,U0107,Stevedore,user107@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0027,N0502,NR0001,in_system,U0109,Stevedore,user109@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0028,N0502,NR0001,email,U0109,Stevedore,user109@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0029,N0502,NR0001,in_system,U0134,Stevedore,user134@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0030,N0502,NR0001,email,U0134,Stevedore,user134@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0031,N0502,NR0001,in_system,U0137,Stevedore,user137@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0032,N0502,NR0001,email,U0137,Stevedore,user137@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0033,N0502,NR0001,in_system,U0181,Stevedore,user181@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0034,N0502,NR0001,email,U0181,Stevedore,user181@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0035,N0502,NR0001,in_system,U0183,Stevedore,user183@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0036,N0502,NR0001,email,U0183,Stevedore,user183@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0037,N0502,NR0001,in_system,U0185,Stevedore,user185@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0038,N0502,NR0001,email,U0185,Stevedore,user185@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0039,N0502,NR0001,in_system,U0190,Stevedore,user190@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0040,N0502,NR0001,email,U0190,Stevedore,user190@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0041,N0502,NR0001,in_system,U0200,Stevedore,user200@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0042,N0502,NR0001,email,U0200,Stevedore,user200@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0043,N0502,NR0001,in_system,U0217,Stevedore,user217@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0044,N0502,NR0001,email,U0217,Stevedore,user217@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0045,N0502,NR0001,in_system,U0237,Stevedore,user237@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0046,N0502,NR0001,email,U0237,Stevedore,user237@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0047,N0502,NR0001,in_system,U0238,Stevedore,user238@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0048,N0502,NR0001,email,U0238,Stevedore,user238@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0049,N0502,NR0001,in_system,U0247,Stevedore,user247@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0050,N0502,NR0001,email,U0247,Stevedore,user247@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0051,N0502,NR0001,in_system,U0253,Stevedore,user253@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0052,N0502,NR0001,email,U0253,Stevedore,user253@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0053,N0502,NR0001,in_system,U0271,Stevedore,user271@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0054,N0502,NR0001,email,U0271,Stevedore,user271@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0055,N0502,NR0001,in_system,U0294,Stevedore,user294@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0056,N0502,NR0001,email,U0294,Stevedore,user294@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0057,N0502,NR0001,in_system,U0295,Stevedore,user295@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0058,N0502,NR0001,email,U0295,Stevedore,user295@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0059,N0502,NR0001,in_system,U0309,Stevedore,user309@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
ND0060,N0502,NR0001,email,U0309,Stevedore,user309@portauthority.com,Sent,2026-04-05T13:59:59+00:00
ND0061,N0502,NR0001,in_system,U0313,Stevedore,user313@portauthority.com,Delivered,2026-04-05T13:59:59+00:00
